Aalpha,Abeta,Balpha,Bbeta,Y
4.3333333333,4.2777777778,2.5,4.0555555556,
3.1111111111,5.2222222222,2.5555555556,2.7222222222,
0.9444444444,4.1666666667,2.1666666667,0.5555555556,
0.7777777778,3.3888888889,3.8888888889,3.2222222222,
