Aalpha,Abeta,Balpha,Bbeta,Y
2.0555555556,1.9444444444,4.2222222222,0.5,
0.7222222222,3.3333333333,3.9444444444,5.2222222222,
1.1111111111,0.5,1.8888888889,3.3888888889,
4.2777777778,0.6111111111,4.5,2.3888888889,
