Aalpha,Abeta,Balpha,Bbeta,Y
5.3333333333,1.4444444444,4.1111111111,1.4444444444,
3.6666666667,1.1666666667,5.6666666667,1,
2.2777777778,4.5555555556,5.2777777778,1.6666666667,
5.1111111111,4.2222222222,3.5555555556,0.7777777778,
