Aalpha,Abeta,Balpha,Bbeta,Y
4.8888888889,2.4444444444,2.2777777778,2.5,
1.2777777778,5.2777777778,5.3888888889,3.6666666667,
6,2.9444444444,2.8333333333,1.3888888889,
3.7777777778,4.4444444444,1.4444444444,5.7777777778,
