Aalpha,Abeta,Balpha,Bbeta,Y
5.8888888889,4.5,4.2777777778,4.9444444444,
3.1666666667,5,1.9444444444,1.1111111111,
2.1666666667,3,1.0555555556,5.9444444444,
1.7777777778,0.6666666667,1.6111111111,5.6666666667,
