Aalpha,Abeta,Balpha,Bbeta,Y
3.5,0.9444444444,4.5555555556,5.1111111111,
1.9444444444,3.5555555556,1.7777777778,2.6111111111,
4.0555555556,2.3888888889,4.7222222222,2,
3.2777777778,3.9444444444,4.4444444444,3.0555555556,
