Aalpha,Abeta,Balpha,Bbeta,Y
5.5555555556,3.2777777778,2.4444444444,6,
5,5.5555555556,2.8888888889,1.1666666667,
5.9444444444,2.8888888889,6,4.4444444444,
2.5555555556,3.2222222222,2.7777777778,1.2222222222,
