Aalpha,Abeta,Balpha,Bbeta,Y
4.1666666667,0.8888888889,3.3888888889,3.8888888889,
2.6111111111,2.6666666667,3.4444444444,3.4444444444,
5.4444444444,4.7777777778,2.6111111111,5.1666666667,
5.6111111111,5.6666666667,5,3.5555555556,
