"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index"
1 47.4893119 31.3534513 7.17175031 34.8830547 3.30116574768339 24.4052735355753 861991462336724992 2
2 47.5125283 31.3731683 7.19985944 34.8964371 3.30170385715099 24.3362637747738 861991462336724992 2
3 47.5536318 31.4103116 7.24072598 34.9080356 3.30285332734696 24.2284093051188 861991462336724992 2
4 47.7891156 31.4566973 7.19469155 34.9478913 3.2917173781746 24.3775360711044 861991462336724992 2
5 47.8011715 31.3564042 7.16453801 34.9560735 3.28002141943594 24.4737111473413 861991462336724992 2
