"individualid" "outputA"
"370" 369 15
"371" 370 8.68704
"372" 371 7.01124
"373" 372 15
"374" 373 15
"375" 374 24.1315
"376" 375 15
"377" 376 22.6831
"378" 377 15
"379" 378 15
"380" 379 15
"381" 380 15
"382" 381 16.5254
"383" 382 15
"384" 383 15
"385" 384 15
"386" 385 15
"387" 386 15
"388" 387 15
"389" 388 15
"390" 389 15
"391" 390 15
"392" 391 15
"393" 392 15
"394" 393 15
"395" 394 15
"396" 395 15
"397" 396 24.5785
"398" 397 24.452
"399" 398 18.5164
"400" 399 16.8926
"401" 400 15
"402" 401 15
"403" 402 15
"404" 403 15
"405" 404 15
"406" 405 15
"407" 406 15
"408" 407 15
"409" 408 15
"410" 409 15
"411" 410 15
"412" 411 16.8926
"413" 412 15
"414" 413 15
"415" 414 11.7033
"416" 415 15
"417" 416 15
"418" 417 15
"419" 418 15
"420" 419 15
"421" 420 15
"422" 421 15
"423" 422 15
"424" 423 21.0683
"425" 424 15
"426" 425 15
"427" 426 15
"428" 427 15
"429" 428 15
"430" 429 24.452
"431" 430 15
"432" 431 14.003
"433" 432 15
"434" 433 15
"435" 434 15
"436" 435 15
"437" 436 15
"438" 437 24.5785
"439" 438 15
"440" 439 15
"441" 440 15
"442" 441 15
"443" 442 15
"444" 443 15
"445" 444 15
"446" 445 19.7496
"447" 446 15
"448" 447 15
"449" 448 15
"450" 449 15
"451" 450 15
"452" 451 15
"453" 452 14.3167
"454" 453 17.1437
"455" 454 15
"456" 455 15
"457" 456 15
"458" 457 15
"459" 458 15
"460" 459 19.7496
"461" 460 15
"462" 461 15
"463" 462 15
"464" 463 15
"465" 464 15
"466" 465 15
"467" 466 15
"468" 467 15
"469" 468 15
"470" 469 15
"471" 470 15
"472" 471 21.072
"473" 472 15
"474" 473 15
"475" 474 15
"476" 475 15
"477" 476 15
"478" 477 15
"479" 478 19.7496
"480" 479 15
"481" 480 15
"482" 481 15
"483" 482 15
"484" 483 15
"485" 484 15
"486" 485 16.3889
"487" 486 15
"488" 487 15
"489" 488 15
"490" 489 15
"491" 490 15
"492" 491 15
"493" 492 15
"494" 493 15
"495" 494 15
"496" 495 15
"497" 496 15
"498" 497 14.003
"499" 498 15
"500" 499 15
"501" 500 15
"502" 501 15
"503" 502 15
"504" 503 15
"505" 504 15
"506" 505 22.2126
"507" 506 15
"508" 507 15
"509" 508 24.1315
"510" 509 15
"511" 510 15
"512" 511 15
"513" 512 15
"514" 513 15
"515" 514 15
"516" 515 15
"517" 516 15
"518" 517 18.7333
"519" 518 15
"520" 519 15
"521" 520 15
"522" 521 15
"523" 522 15
"524" 523 15
"525" 524 15
"526" 525 15
"527" 526 21.0683
"528" 527 15
"529" 528 15
"530" 529 15
"531" 530 15
"532" 531 25.5774
"533" 532 15
"534" 533 12.1155
"535" 534 20.7291
"536" 535 18.7333
"537" 536 15
"538" 537 15
"539" 538 15
"540" 539 15
"541" 540 21.9831
"542" 541 21.0683
"543" 542 15
"544" 543 15
"545" 544 6.73273
"546" 545 15
"547" 546 15
"548" 547 10.1532
"549" 548 15
"550" 549 15
"551" 550 15
"552" 551 15
"553" 552 15
"554" 553 21.072
"555" 554 15
"556" 555 15
"557" 556 15
"558" 557 15
"559" 558 15
"560" 559 15
"561" 560 15
"562" 561 15
"563" 562 15
"564" 563 21.0377
"565" 564 15
"566" 565 15
"567" 566 15
"568" 567 15
"569" 568 15
"570" 569 15
"571" 570 15
"572" 571 15
"573" 572 15
"574" 573 15
"575" 574 15
"576" 575 15
"577" 576 15
"578" 577 27.6748
"579" 578 15
"580" 579 15
"581" 580 15
"582" 581 15
"583" 582 15
"584" 583 15
"585" 584 14.003
"586" 585 21.6921
"587" 586 24.452
"588" 587 15
"589" 588 15
"590" 589 15
"591" 590 15
"592" 591 15
"593" 592 27.1403
"594" 593 15
"595" 594 15
"596" 595 12.6783
"597" 596 15
"598" 597 15
"599" 598 15
"600" 599 21.6921
"601" 600 15
"602" 601 15
"603" 602 15
"604" 603 24.1315
"605" 604 15
"606" 605 9.99032
"607" 606 15
"608" 607 21.6566
"609" 608 15
"610" 609 15
"611" 610 15
"612" 611 22.5
"613" 612 15
"614" 613 15
"615" 614 15
"616" 615 7.57676
"617" 616 15
"618" 617 26.1436
"619" 618 15
"620" 619 9.65093
"621" 620 18.4004
"622" 621 15
"623" 622 22.2126
"624" 623 19.7496
"625" 624 15
"626" 625 15
"627" 626 15
"628" 627 15
"629" 628 15
"630" 629 22.6831
"631" 630 15
"632" 631 24.452
"633" 632 21.9831
"634" 633 21.9975
"635" 634 15
"636" 635 12.6783
"637" 636 15
"638" 637 15
"639" 638 15
"640" 639 15
"641" 640 21.0683
"642" 641 15
"643" 642 15
"644" 643 15
"645" 644 15
"646" 645 15
"647" 646 21.0683
"648" 647 15
"649" 648 16.3889
"650" 649 15
"651" 650 12.1155
"652" 651 16.3889
"653" 652 15
"654" 653 15
"655" 654 15
"656" 655 15
"657" 656 15
"658" 657 15
"659" 658 15
"660" 659 15
"661" 660 15
"662" 661 15
"663" 662 15
"664" 663 15
"665" 664 17.1437
"666" 665 15
"667" 666 15
"668" 667 15
"669" 668 14.4033
"670" 669 15
"671" 670 15
"672" 671 15
"673" 672 15
"674" 673 15
"675" 674 15
"676" 675 15
"677" 676 15
"678" 677 18.7333
"679" 678 21.9975
"680" 679 15
"681" 680 15
"682" 681 11.4854
"683" 682 15
"684" 683 15
"685" 684 15
"686" 685 15
"687" 686 15
"688" 687 15
"689" 688 15
"690" 689 15
"691" 690 15
"692" 691 15
"693" 692 21.0683
"694" 693 15
"695" 694 15
"696" 695 15
"697" 696 15
"698" 697 15
"699" 698 22.6831
"700" 699 15
"701" 700 15
"702" 701 15
"703" 702 10.4787
"704" 703 15
"705" 704 15
"706" 705 15
"707" 706 15
"708" 707 15
"709" 708 15
"710" 709 15
