"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 42.9530042 50.0029507 45.9828692 11.1931547 4.9174106454408 1.21818650220049 861991462336724992 1 4.24660273312874e-09 -8.78181349779952
2 42.9762129 50.0226667 46.0109769 11.2065373 4.9173312776535 1.2189145726914 861991462336724992 1 4.2774779834806e-09 -8.7810854273086
3 43.0173087 50.0598098 46.051842 11.2181357 4.91722279192746 1.21911428768999 861991462336724992 1 4.29429365877909e-09 -8.78088571231001
4 43.0617698 50.1228035 46.1381741 11.2592985 4.9172572533254 1.22137687052385 861991462336724992 1 4.36364421732353e-09 -8.77862312947615
5 43.1469149 50.2057812 46.2131149 11.326066 4.91701087498326 1.22669720343721 861991462336724992 1 4.51018821997427e-09 -8.77330279656279
