"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 12.173811 31.832132 40.444698 13.189334 5.06588588634191 1.66460962959826 862137708120637440 3 0.500219128038239 1.66460962959826
2 12.19562 31.845482 40.485072 13.19071 5.0656657121098 1.66316639382567 862137708120637440 3 0.500857231286353 1.66316639382567
3 12.229906 31.848127 40.542572 13.176089 5.0652578404179 1.65902394856156 862137708120637440 3 0.502602314782504 1.65902394856156
4 12.237917 31.907035 40.615633 13.21973 5.0653142993953 1.66165623979631 862137708120637440 3 0.501512831939683 1.66165623979631
5 12.273591 31.938246 40.751975 13.256718 5.06497190300934 1.6611111078681 862137708120637440 3 0.501832079904834 1.6611111078681
