"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 6.6293522 38.888644 48.005299 23.270134 5.18684048423048 2.52380823371206 862137708120637440 1 0.203461456764388 2.52380823371206
2 6.6511628 38.902001 48.045673 23.271511 5.18630349732885 2.52192924946781 862137708120637440 1 0.204010686071417 2.52192924946781
3 6.6854472 38.904662 48.103175 23.256893 5.18534352474669 2.5172838543434 862137708120637440 1 0.205256604653851 2.5172838543434
4 6.6934606 38.963573 48.176236 23.300535 5.18526672910609 2.51847310939418 862137708120637440 1 0.204980162729989 2.51847310939418
5 6.7291385 38.994785 48.312579 23.337522 5.18436937924212 2.5153752912727 862137708120637440 1 0.205995871410876 2.5153752912727
