"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 10.1576145 6.1260386 13.226499 16.213537 3.01595391709973 6.22746002021172 862137708120637440 3 6.5524871995443e-05 6.22746002021172
2 10.1794272 6.1393916 13.266877 16.214916 3.01700854547348 6.210698977525 862137708120637440 3 7.50614829599249e-05 6.210698977525
3 10.2137134 6.1420457 13.324381 16.200297 3.0089128482001 6.18072927137298 862137708120637440 3 9.03871466325886e-05 6.18072927137298
4 10.2217259 6.2009565 13.397442 16.243941 3.03691673604195 6.16834944505432 862137708120637440 3 0.000107254921013527 6.16834944505432
5 10.2574058 6.2321677 13.533783 16.280928 3.04288119928134 6.12990521191893 862137708120637440 3 0.000200721507466596 6.12990521191893
