0, 20, 50, 10, 15
1, 20, 50, 10, 15
2, 38.8789, 50, 13.1583, 18.7333
3, 20, 50, 10, 15
4, 20, 50, 10, 15
5, 20, 50, 10, 21.9975
6, 20, 50, 10, 15
7, 20, 50, 10, 15
8, 20, 50, 10, 20.7291
9, 20, 50, 10, 15
10, 38.4021, 50, 15.9502, 15
11, 20, 50, 10, 24.452
12, 20, 75, 10, 21.5888
13, 20, 50, 10, 15
14, 20, 69.7644, 10, 22.6831
15, 20, 50, 27.5882, 16.5312
16, 20, 50, 18.1514, 15
17, 38.8789, 50, 10, 18.7333
18, 20, 50, 10, 15
19, 20, 50, 10, 15
20, 20, 98.8381, 10, 15
21, 16.6885, 50, 10, 15
22, 20, 50, 15.9502, 15
23, 38.8789, 50, 10, 15
24, 20, 50, 19.2868, 15
25, 20, 81.0673, 8.17877, 15
26, 20, 50, 19.2471, 22.2126
27, 20, 50, 18.1514, 15
28, 20, 50, 10, 15
29, 20, 50, 10, 22.6831
30, 20, 50, 10, 15
31, 20, 50, 10, 22.6831
32, 20, 50, 15.7334, 15
33, 20, 50, 10, 24.1315
34, 38.8789, 50, 10, 15
35, 20, 50, 10, 15
36, 20, 50, 10, 15
37, 27.8645, 50, 10, 10.8901
38, 38.4021, 50, 27.4382, 15
39, 38.4021, 50, 10, 15
40, 20, 50, 18.1514, 15
41, 20, 50, 10, 13.027
42, 20, 69.7644, 10, 15
43, 20, 50, 10, 14.003
44, 20, 50, 10, 15
45, 20, 50, 10, 15
46, 20, 50, 10, 21.9975
47, 20, 50, 10, 21.0377
48, 12.9102, 50, 12.6633, 15
49, 20, 50, 10, 15
50, 20, 50, 10.9241, 15
51, 38.4021, 50, 10, 15
52, 20, 9.68685, 19.2868, 18.6009
53, 20, 50, 10, 15
54, 20, 50, 10, 15
55, 20, 50, 10, 15
56, 38.8789, 50, 10, 15
57, 20, 50, 10, 15
58, 20, 50, 10.5758, 15
59, 20, 50, 10, 21.0377
60, 20, 50, 10, 15
61, 20, 50, 10, 15
62, 20, 50, 10, 15
63, 20, 50, 10, 15
64, 16.6885, 50, 10, 2.74339
65, 20, 50, 10, 15
66, 20, 50, 10, 15
67, 20, 50, 10, 15
68, 20, 75, 10, 15
69, 26.4114, 50, 10, 15
70, 19.5796, 50, 10, 15
71, 22.8157, 133.891, 13.9468, 15
72, 20, 50, 10, 15
73, 20, 57.4269, 10, 15
74, 20, 50, 10, 15
75, 20, 73.3711, 10, 21.0683
76, 20, 50, 10, 15
77, 20, 95.0865, 15.9502, 15
78, 20, 42.6439, 10, 15
79, 20, 50, 10, 15
80, 20, 50, 10, 15
81, 20, 50, 19.0791, 15
82, 31.9358, 50, 10, 15
83, 20, 50, 10, 15
84, 20, 50, 10, 15
85, 20, 50, 10, 15
86, 20, 50, 10, 29.6806
87, 20, 50, 10, 15
88, 20, 50, 18.1514, 13.027
89, 20, 59.3206, 10, 26.1804
90, 20, 50, 23.0135, 15
91, 27.8645, 50, 10, 15
92, 20, 50, 10, 15
93, 20, 50, 10, 15
94, 20, 50, 10, 18.7333
95, 20, 50, 10, 15
96, 38.4021, 50, 10, 15
97, 20, 50, 10, 15
98, 16.6885, 50, 10, 14.003
99, 20, 50, 10, 15
100, 20, 50, 10, 15
101, 20, 50, 10, 15
102, 40.455, 50, 10, 15
103, 20.4795, 85.8615, 10, 15
104, 20, 50, 10, 15
105, 20, 81.0673, 19.2868, 15
106, 20, 50, 17.8924, 15
107, 20, 50, 10, 15
108, 20, 21.2336, 10, 10.1532
109, 20, 50, 10, 15
110, 20, 50, 10, 26.1436
111, 20, 50, 10, 15
112, 20.4795, 50, 10, 15
113, 20, 50, 10, 15
114, 20, 50, 10, 15
115, 25.1262, 50, 10, 15
116, 20, 50, 10.8015, 15
117, 20, 50, 10, 15
118, 57.281, 50, 10.7853, 22.7187
119, 20, 50, 10, 15
120, 20, 50, 16.5447, 15
121, 20, 50, 10, 15
122, 20, 50, 10, 23.2917
123, 38.4021, 50, 10, 15
124, 20, 50, 10, 22.6831
125, 22.0755, 50, 10, 7.62932
126, 20, 50, 8.24623, 15
127, 20, 50, 10, 15
128, 20, 50, 10, 15
129, 38.8789, 50, 15.7334, 15
130, 20, 50, 10, 15
131, 20, 50, 10, 16.5653
132, 20, 50, 15.7334, 15
133, 20, 59.3206, 10, 22.6831
134, 20, 50, 10, 15
135, 20, 50, 10, 15
136, 20, 50, 10, 15
137, 20, 50, 10, 15
138, 20, 50, 8.58479, 1.56288
139, 20, 50, 10, 15
140, 20, 50, 10, 15
141, 20, 50, 10, 15
142, 20, 50, 16.4292, 15
143, 26.4114, 50, 10, 15
144, 5.91341, 50, 14.8621, 15
145, 20, 50, 10, 15
146, 22.8157, 133.891, 10, 15
147, 38.8789, 50, 10, 15
148, 20, 9.68685, 10, 15
149, 20, 75, 10, 15
150, 38.8789, 50, 10, 15
151, 20, 50, 10, 21.9975
152, 20, 50, 10, 15
153, 20, 50, 8.58479, 15
154, 20, 28.0244, 10, 15
155, 20, 50, 10, 24.452
156, 20, 81.0673, 19.2868, 15
157, 20, 50, 10.7853, 16.8926
158, 34.9184, 50, 15.9502, 15
159, 20, 50, 10, 15
160, 15.4585, 75, 10, 16.4838
161, 20, 50, 10, 16.8926
162, 20, 83.1539, 10, 15
163, 22.0755, 50, 10, 15
164, 20, 50, 10, 15
165, 20, 50, 10, 15
166, 20, 50, 10, 15
167, 20, 50, 10, 22.6831
168, 20, 50, 10, 15
169, 20, 50, 10, 15
170, 20, 50, 10, 15
171, 20, 83.1539, 10, 25.5774
172, 20, 50, 10, 15
173, 34.9184, 50, 10, 15
174, 20, 50, 10, 15
175, 30, 50, 10, 15
176, 20, 50, 10, 15
177, 20, 50, 10, 21.6921
178, 57.281, 50, 10, 15
179, 20, 50, 10, 15
