Aalpha,Abeta,Balpha,Bbeta,Y
46.975757576,25.302020202,24.797979798,43.951515152,
38.911111111,16.733333333,10.180808081,27.822222222,
21.773737374,37.398989899,34.878787879,18.245454545,
12.701010101,43.951515152,43.951515152,38.911111111,
