"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 42.9412808 50.00394 45.9728105 11.1875976 4.91750041884412 1.21784262809282 862137708120637440 1 6.42929320725916e-259 -48.7821573719072
2 42.9775809 50.0265205 45.9907545 11.2063492 4.91734853948785 1.21942311391265 862137708120637440 1 1.01887902996663e-258 -48.7805768860873
3 43.0271461 50.0596069 46.034832 11.2383349 4.91714920005388 1.22175702653855 862137708120637440 1 8.24566458651391e-258 -48.7782429734615
4 43.1025305 50.1361002 46.0786915 11.2831799 4.91698303451067 1.22547472240043 862137708120637440 1 1.47624902928377e-257 -48.7745252775996
5 43.2030191 50.2473586 46.1717961 11.3583455 4.91673805703329 1.23122723467971 862137708120637440 1 9.87737489980817e-258 -48.7687727653203
