"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 47.4822961 31.3580618 7.16108942 34.8838601 3.3021322320962 24.4351869148136 861922731048828928 2 0 -75.5648130851864
2 47.5160969 31.3808059 7.20080624 34.9155486 3.30224621614229 24.3416640618163 861922731048828928 2 0 -75.6583359381837
3 47.5406677 31.4430447 7.24234936 34.9488312 3.30712934399063 24.253247175215 861922731048828928 2 0 -75.746752824785
4 47.5897381 31.4939552 7.28927836 35.016898 3.30920722580129 24.1763627661505 861922731048828928 2 0 -75.8236372338495
5 47.6318977 31.6035266 7.38798868 35.1056311 3.31788663655554 23.9725322385787 861922731048828928 2 0 -76.0274677614213
