"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 23.2836842 10.68883543 7.66573167 24.292691 2.29546409669288 15.8832331292258 862137708120637440 2 0 -84.1167668707742
2 23.3193104 10.7174875 7.69170433 24.3124182 2.29827254640306 15.8520246159657 862137708120637440 2 0 -84.1479753840343
3 23.371544 10.77183044 7.72027517 24.360109 2.30496563693563 15.8351507815746 862137708120637440 2 0 -84.1648492184254
4 23.4386144 10.84415096 7.7811319 24.4161277 2.31427686000924 15.7686593280846 862137708120637440 2 0 -84.2313406719154
5 23.5237312 10.98171637 7.85777849 24.5386832 2.33585237018895 15.7171325463276 862137708120637440 2 0 -84.2828674536724
