"UniqueCombo" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "fitness" "distance"
1 1 42.9467582 50.0048172666667 45.9759626333333 11.1915708333333 4.91746543250791 1.21819238591074 0 -98.7818076140893
1 2 42.9793318666667 50.0281891 46.0061353333333 11.2104106 4.91734367667644 1.21946460263587 0 -98.7805353973641
1 3 43.0174795666667 50.0780429 46.0450269 11.2435972666667 4.91733411224717 1.22207455037375 0 -98.7779254496263
1 4 43.0773756 50.1420166 46.1057933666667 11.2984034 4.91723182976452 1.22646761357644 0 -98.7735323864236
1 5 43.1586672666667 50.2468830666667 46.2035991666667 11.3878127 4.91716368279322 1.23365481251345 0 -98.7663451874865
2 1 17.2406630333333 44.4604124666667 19.2618576 38.409769 5.04432623108372 10.1406884793209 0 -89.8593115206791
2 2 17.2732402666667 44.4837802333333 19.2920263666667 38.4286073333333 5.04413992338735 10.1302546135038 0 -89.8697453864962
2 3 17.3113923 44.5336292 19.3309146666667 38.4617924666667 5.04396060951532 10.1194123904188 0 -89.8805876095812
2 4 17.3712917666667 44.5975992333333 19.3916779666667 38.5165963666667 5.04365765600586 10.1032614045663 0 -89.8967385954337
2 5 17.4525862666667 44.7024636666667 19.4894782 38.6060042 5.04328198492322 10.0785846056053 0 -89.9214153943947
3 1 6.65580401666667 38.915919 47.9921579666667 23.2885673666667 5.18612408111833 2.52638237169513 0 -97.4736176283049
3 2 6.68838324666667 38.9392923666667 48.0223271666667 23.3074046666667 5.1853170709079 2.52678923934493 0 -97.4732107606551
3 3 6.72653581333333 38.9891480666667 48.0612158333333 23.3405887666667 5.184379810752 2.52825361760314 0 -97.4717463823969
3 4 6.78643611 39.0531233666667 48.1219794333333 23.3953909333333 5.1829320899558 2.53073610177053 0 -97.4692638982295
3 5 6.86773231 39.1579909 48.2197804 23.4847973666667 5.18105089594367 2.53473258783302 0 -97.465267412167
4 1 43.9547674333333 16.2341165333333 42.4476645 51.0107702 1.84671852380186 6.0082336062516 0 -93.9917663937484
4 2 43.9873502666667 16.2574877666667 42.4778388 51.0296091 1.84805357503087 6.00632424676983 0 -93.9936757532302
4 3 44.0255053666667 16.3073409 42.5167326 51.0627955333333 1.85215840027996 6.0049470834752 0 -93.9950529165248
4 4 44.0854086333333 16.3713143333333 42.5774999333333 51.1176006333333 1.8569859906276 6.00313459567062 0 -93.9968654043294
4 5 44.1667073333333 16.4761802 42.6753064 51.2070096333333 1.86556548360216 6.00046166024894 0 -93.9995383397511
5 1 23.2891612666667 10.6897116866667 7.6688838 24.2966651 2.29514409835871 15.8796378836759 0 -84.1203621163241
5 2 23.3217375333333 10.7130787366667 7.69905759 24.3155008333333 2.29714905803619 15.839502597375 0 -84.160497402625
5 3 23.3598881333333 10.76292698 7.73795029666667 24.3486834 2.30426193219017 15.7953366489855 0 -84.2046633510145
5 4 23.4197856333333 10.8268962533333 7.79871745 24.4034825666667 2.31240194775406 15.7276685399663 0 -84.2723314600337
5 5 23.5010788666667 10.9317597866667 7.89652289666667 24.4928887666667 2.32725268532934 15.6228335757746 0 -84.3771664242254
6 1 47.4830654333333 31.3553181666667 7.1648438 34.8814707333333 3.30178779314635 24.4239067877739 0 -75.5760932122261
6 2 47.5156461 31.3786906666667 7.19501759333333 34.9003104 3.30205667545006 24.3515553504595 0 -75.6484446495405
6 3 47.5538000666667 31.4285446 7.23391029333333 34.9334968666667 3.3047199934907 24.2669920605172 0 -75.7330079394828
6 4 47.6137012666667 31.4925188 7.29467742 34.9883031 3.30741689306188 24.1363304967977 0 -75.8636695032023
6 5 47.6949992333333 31.5973854666667 7.39248297333333 35.0777123666667 3.31297292920513 23.9327356771625 0 -76.0672643228375
7 1 15.7285603333333 50.508911 11.7011694 45.9703699 5.06565443509327 20.0384185389618 0 -79.9615814610382
7 2 15.7611361 50.5322770333333 11.7313475333333 45.9892083666667 5.06544508511952 19.9996469010099 0 -80.0003530989901
7 3 15.7992859666667 50.5821244333333 11.7702438333333 46.022394 5.06522952031613 19.9546897465546 0 -80.0453102534454
7 4 15.8591832333333 50.6460931 11.8310148333333 46.0771989666667 5.06487641645014 19.8856113691686 0 -80.1143886308314
7 5 15.9404755 50.7509558666667 11.9288236 46.1666075333333 5.06442860737422 19.7784144953894 0 -80.2215855046106
8 1 3.12752379666667 21.274517 24.8062631 37.4016710333333 5.36581166073214 8.29852406955242 0 -91.7014759304476
8 2 3.16010281333333 21.2978887 24.8364359333333 37.4205108333333 5.36324040413185 8.28749041744987 0 -91.7125095825501
8 3 3.19825519333333 21.3477419666667 24.8753281666667 37.4536976666667 5.36006361395456 8.27539743864297 0 -91.7246025613571
8 4 3.25815541333333 21.4117153333333 24.9360949333333 37.5085039666667 5.35524525790035 8.25862481310216 0 -91.7413751868978
8 5 3.33945124666667 21.5165818 25.0339006666667 37.5979133666667 5.34900033228897 8.23495414558541 0 -91.7650458544146
9 1 10.18406652 6.15331588666667 13.2133595333333 16.2319712333333 3.02201427824122 6.24081123776026 0 -93.7591887622398
9 2 10.2166482833333 6.17668651666667 13.2435300333333 16.2508112333333 3.02510872479016 6.23476373315626 0 -93.7652362668437
9 3 10.25480268 6.22653888666667 13.2824196666667 16.2839982333333 3.03932370383139 6.23113663717931 0 -93.7688633628207
9 4 10.3147054333333 6.29051163666667 13.3431842666667 16.3388048333333 3.05495072421974 6.22631842017818 0 -93.7736815798218
9 5 10.3960041833333 6.39537745666667 13.4409867333333 16.4282142 3.08225539115551 6.21992814047796 0 -93.780071859522
