"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 6.65503501 38.9186625 47.9884037 23.290957 5.18615677051931 2.52682883139167 861922731048828928 1 2.72392123624333e-245 -47.4731711686083
2 6.68329351 38.9417096 48.0244668 23.3216921 5.18543182345903 2.52824646943793 861922731048828928 1 5.91514539648116e-245 -47.4717535305621
3 6.72040132 38.9857774 48.0526211 23.3490208 5.18451621521132 2.5296413715246 861922731048828928 1 9.37319151457907e-245 -47.4703586284754
4 6.79071516 39.0333088 48.1249662 23.397726 5.18286685362394 2.53077240622802 861922731048828928 1 4.33171115931206e-242 -47.469227593772
5 6.87392943 39.1206676 48.1876295 23.4866378 5.18097145873818 2.5365248832339 861922731048828928 1 4.27695067522569e-237 -47.4634751167661
