"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "fitness" "distance"
1 15.7285603333333 50.508911 11.7011694 45.9703699 5.06565443509327 20.0384185389618 6.7613315846464e-91 -29.9615814610382
2 15.7578164 50.5306859666667 11.7285471 45.9913258333333 5.06546785689253 20.0051002190495 4.55386086075096e-90 -29.9948997809505
3 15.8004069666667 50.5687787666667 11.766252 46.0149632666667 5.06520487764593 19.9568381795385 1.54951789741815e-91 -30.0431618204615
4 15.8690990333333 50.5680963333333 11.8242384333333 46.0254137666667 5.06467120089673 19.8637992183467 6.9816094428221e-78 -30.1362007816533
5 15.8629998666667 50.6159912 11.8297239333333 46.0681574 5.06478829432202 19.8775621451144 3.53893301401843e-83 -30.1224378548856
