"UniqueCombo" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "fitness" "distance"
1 1 42.9467582 50.0048172666667 45.9759626333333 11.1915708333333 4.91746543250791 1.21819238591074 5.76806927066573e-259 -48.7818076140893
1 2 42.9760123 50.0265978666667 46.0033353666667 11.2125278666667 4.91735945637343 1.21976500321857 1.01441091459739e-258 -48.7802349967814
1 3 43.0186004666667 50.0646966333333 46.0410355333333 11.2361662 4.91724698060808 1.22135943003038 3.79550907335324e-258 -48.7786405699696
1 4 43.0819852666667 50.1270358666667 46.1085485666667 11.2810718333333 4.91709956665185 1.22449209396665 4.84140683761395e-256 -48.7755079060334
1 5 43.1715998 50.2209009666667 46.185453 11.3580214666667 4.91676662625979 1.23085747206275 5.32636840229314e-251 -48.7691425279373
2 1 6.65580401666667 38.915919 47.9921579666667 23.2885673666667 5.18612408111833 2.52638237169513 2.72983267230083e-245 -47.4736176283049
2 2 6.6850635 38.9377015 48.0195271666667 23.3095222 5.18540374398035 2.52717476728854 4.48340286926786e-245 -47.4728252327115
2 3 6.72765630666667 38.9758016333333 48.0572236666667 23.3331579 5.18435224248938 2.52757830205524 1.51261018053155e-244 -47.4724216979448
2 4 6.79104628666667 39.0381418666667 48.1247338333333 23.3780597 5.18280759972862 2.52863768784308 1.46306187018971e-242 -47.4713623121569
2 5 6.88066495333333 39.1320076333333 48.2016332666667 23.4550071 5.18072339635496 2.53238801748618 1.42565039091605e-237 -47.4676119825138
3 1 43.9547674333333 16.2341165333333 42.4476645 51.0107702 1.84671852380186 6.0082336062516 1.26518657795789e-210 -43.9917663937484
3 2 43.9840307 16.2558965666667 42.4750386333333 51.0317265 1.84800977959789 6.00695827544686 1.88461306706276e-210 -43.9930417245532
3 3 44.0266260333333 16.2939946333333 42.5127411333333 51.0553646666667 1.85060277459364 6.00459081862146 5.96150824888918e-210 -43.9954091813786
3 4 44.0928491333333 16.3576344 42.5650665 51.1017696333333 1.85511209809593 6.00290468463033 3.03325458131977e-208 -43.9970953153697
3 5 44.1665783333333 16.4587106 42.6449241666667 51.1854381 1.8635898487816 6.00194547329893 1.39155937991816e-199 -43.9980545267011
4 1 23.2891612666667 10.6897116866667 7.6688838 24.2966651 2.29514409835871 15.8796378836759 1.38581240450281e-113 -34.1203621163241
4 2 23.3184176666667 10.7114877033333 7.69625742666667 24.3176182333333 2.29712330028584 15.846017967814 5.62430185699722e-113 -34.153982032186
4 3 23.3610086 10.7495814466667 7.73395856333333 24.3412524666667 2.3013268923197 15.7960028139001 3.36880963714025e-114 -34.2039971860999
4 4 23.5210870666667 10.8143623633333 7.68308671 24.5037881 2.29991699910371 15.9897601568391 2.06959786164137e-107 -34.0102398431609
4 5 23.4605401 10.6913112733333 7.63984868333333 24.528461 2.27945952068243 16.0896656337672 7.7655475674659e-90 -33.9103343662328
5 1 15.7285603333333 50.508911 11.7011694 45.9703699 5.06565443509327 20.0384185389618 6.7613315846464e-91 -29.9615814610382
5 2 15.7578164 50.5306859666667 11.7285471 45.9913258333333 5.06546785689253 20.0051002190495 4.55386086075096e-90 -29.9948997809505
5 3 15.8004069666667 50.5687787666667 11.766252 46.0149632666667 5.06520487764593 19.9568381795385 1.54951789741815e-91 -30.0431618204615
5 4 15.8690990333333 50.5680963333333 11.8242384333333 46.0254137666667 5.06467120089673 19.8637992183467 6.9816094428221e-78 -30.1362007816533
5 5 15.8629998666667 50.6159912 11.8297239333333 46.0681574 5.06478829432202 19.8775621451144 3.53893301401843e-83 -30.1224378548856
6 1 3.12752379666667 21.274517 24.8062631 37.4016710333333 5.36581166073214 8.29852406955242 2.14462531252567e-187 -41.7014759304476
6 2 3.15678307666667 21.2962974333333 24.8336359666667 37.4226280666667 5.36352894052632 8.28944542226632 7.07984520780379e-187 -41.7105545777337
6 3 3.19937564333333 21.3343957666667 24.8713366666667 37.4462666 5.36004902199252 8.27511450886237 9.74379027379227e-185 -41.7248854911376
6 4 3.26532402 21.3894745333333 24.9439345 37.4891877666667 5.35453129534066 8.25056728372536 1.01896981318694e-181 -41.7494327162746
6 5 3.36096007 21.4741048333333 25.0336445333333 37.5708435 5.34681339297707 8.22446854534035 2.40742429656668e-179 -41.7755314546596
7 1 10.18406652 6.15331588666667 13.2133595333333 16.2319712333333 3.02201427824122 6.24081123776026 2.6841662755677e-202 -43.7591887622398
7 2 10.2133285633333 6.17509538 13.2407300666667 16.2529284666667 3.0252287234516 6.23684838049049 1.00838529089248e-202 -43.7631516195095
7 3 10.2559235133333 6.21319270333333 13.2784277333333 16.2765672 3.03277919865469 6.22950938347474 1.69787184129505e-199 -43.7704906165253
7 4 10.2617757366667 6.22506473 13.3076390333333 16.3966473 3.03580142604103 6.26405640627874 8.36859746988923e-192 -43.7359435937212
7 5 10.2248499466667 6.15204672333333 13.2071767 16.3721643333333 3.00965300927357 6.2966602812042 7.77520330328582e-202 -43.7033397187958
8 1 12.2002626 31.8594116 40.4315572 13.2077665 5.06563391648701 1.66745918080242 3.99589065265378e-254 -48.3325408191975
8 2 12.2295198666667 31.8811871333333 40.4589255666667 13.2287209666667 5.06534739388978 1.66898937154895 9.23063816029109e-254 -48.3310106284511
8 3 12.2721113333333 31.9192804 40.4966217333333 13.252356 5.06494546753352 1.67043391758041 6.26557072313913e-253 -48.3295660824196
8 4 12.3354999 31.9816144666667 40.5641306666667 13.2972567666667 5.06436326057326 1.67334459087472 2.38228110409303e-250 -48.3266554091253
8 5 12.4251169333333 32.0754768 40.6410293666667 13.3742041333333 5.06357239345028 1.67988301859366 1.55105370547435e-244 -48.3201169814063
