"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 15.728685 50.499722 11.726128 45.972795 5.06563515498165 19.9958733619134 861922731048828928 2 3.44822752402891e-40 19.9958733619134
1 2 15.74936 50.549178 11.77667 46.00657 5.06555186467072 19.9287737310095 861922731048828928 2 1.23266718479124e-39 19.9287737310095
1 3 15.760344 50.58639 11.823648 46.132856 5.06553633323666 19.9163218934753 861922731048828928 2 7.79937041341844e-31 19.9163218934753
1 4 15.774497 50.774215 11.922239 46.145834 5.06569339840166 19.7722989764537 861922731048828928 2 9.26166089812316e-31 19.7722989764537
1 5 15.894447 50.752776 12.012604 46.268347 5.06476462303925 19.6783412011077 861922731048828928 2 3.58232050035947e-32 19.6783412011077
2 1 15.698269 50.519993 11.678594 45.953225 5.06590552585187 20.0706641780046 861991462336724992 2 6.20641197583304e-38 20.0706641780046
2 2 15.716784 50.528663 11.721642 45.995442 5.06578158964791 20.0214648616234 861991462336724992 2 1.19518726146781e-37 20.0214648616234
2 3 15.806848 50.528249 11.781985 46.044996 5.06511040190162 19.9532026462575 861991462336724992 2 9.65592869422323e-30 19.9532026462575
2 4 15.848509 50.561433 11.865395 46.110203 5.06483555431945 19.8390089262396 861991462336724992 2 5.10663720041096e-34 19.8390089262396
2 5 16.016737 50.58408 11.959647 46.275488 5.06370252461505 19.7790534161231 861991462336724992 2 3.87212982502357e-24 19.7790534161231
3 1 15.702111 50.481632 11.714306 45.951936 5.06581903755834 20.0084183644641 862137708120637440 2 5.81030844517879e-36 20.0084183644641
3 2 15.723916 50.494982 11.754692 45.953315 5.06567580976765 19.9472414982992 862137708120637440 2 6.41803053913524e-36 19.9472414982992
3 3 15.7582 50.497625 11.812204 45.938694 5.06541665030175 19.8558459217228 862137708120637440 2 2.21528854857111e-36 19.8558459217228
3 4 15.766209 50.556533 11.885278 45.982336 5.06544266936687 19.7682220211601 862137708120637440 2 1.79208703732078e-32 19.7682220211601
3 5 15.801883 50.587744 12.02162 46.019323 5.06521953822881 19.5955044927221 862137708120637440 2 1.03024039256546e-23 19.5955044927221
