"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 47.4822961 31.3580618 7.16108942 34.8838601 3.3021322320962 24.4351869148136 861922731048828928 2 6.93929088703866e-15 14.4351869148136
1 2 47.5105562 31.3811076 7.19715665 34.9145969 3.30264523214778 24.3514171018014 861922731048828928 2 1.25950806329446e-10 14.3514171018014
1 3 47.5476648 31.4251742 7.22531474 34.9419275 3.30476083670208 24.2946342006972 861922731048828928 2 2.87838065139539e-10 14.2946342006972
1 4 47.4783416 31.3811843 7.16828207 34.9329654 3.30482869794686 24.4467718576912 861922731048828928 2 9.92713089602795e-14 14.4467718576912
1 5 47.3194309 31.6505308 7.15222767 34.8807619 3.34442697554506 24.4619901111896 861922731048828928 2 7.87324552709807e-15 14.4619901111896
2 1 47.4893119 31.3534513 7.17175031 34.8830547 3.30116574768339 24.4052735355753 861991462336724992 2 8.32487880646714e-13 14.4052735355753
2 2 47.5125283 31.3731683 7.19985944 34.8964371 3.30170385715099 24.3362637747738 861991462336724992 2 6.5031319273348e-12 14.3362637747738
2 3 47.5536318 31.4103116 7.24072598 34.9080356 3.30285332734696 24.2284093051188 861991462336724992 2 1.38951163713474e-06 14.2284093051188
2 4 47.5270568 31.3068584 7.19458815 35.0003356 3.29366270414485 24.4032090653736 861991462336724992 2 4.30702714564386e-14 14.4032090653736
2 5 47.485806 31.2592499 7.15136361 35.8349887 3.29146691082611 25.1491396786673 861991462336724992 2 1.7563777942625e-15 15.1491396786673
3 1 47.4775883 31.3544414 7.16169167 34.8774974 3.30206539965947 24.4312599129327 862137708120637440 2 9.02100789365359e-14 14.4312599129327
3 2 47.513895 31.3770227 7.1796362 34.8962489 3.30199679973625 24.3967607328308 862137708120637440 2 1.1592612256799e-11 14.3967607328308
3 3 47.5634656 31.4101091 7.22371513 34.9282346 3.30214224984769 24.2903012396421 862137708120637440 2 5.35435067442481e-09 14.2903012396421
3 4 47.484767 31.354912 7.15387149 35.5421135 3.30161519668416 24.9192605984534 862137708120637440 2 4.05052077067651e-16 14.9192605984534
3 5 47.3705485 31.3503598 7.15921728 34.4565315 3.30909674153719 24.1424777458205 862137708120637440 2 2.33002194642245e-13 14.1424777458205
