"Rep" "Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "SEED" "Index" "fitness" "distance"
1 1 10.18329728 6.15605919 13.2096053 16.2343604 3.02362566522134 6.243283268259 861922731048828928 3 0.0298547724892011 -3.756716731741
1 2 10.2115579 6.17910351 13.2456697 16.2650978 3.02750597318837 6.23916225269541 861922731048828928 3 0.030279554371014 -3.76083774730459
1 3 10.24866761 6.22316892 13.2738255 16.2924289 3.03912737403172 6.23786436841502 861922731048828928 3 0.0308577732351953 -3.76213563158498
1 4 10.30309733 6.26802796 13.3331477 16.3435229 3.04443731264762 6.23110617275475 861922731048828928 3 0.0320580306019016 -3.76889382724525
1 5 10.35186829 6.36100147 13.4039025 16.409123 3.07298827810058 6.22726349706564 861922731048828928 3 0.0337566345120519 -3.77273650293436
2 1 10.1903129 6.15144925 13.2202659 16.2335552 3.01940085624134 6.23832074549253 861991462336724992 3 0.0295929177051697 -3.76167925450747
2 2 10.21353049 6.17116443 13.2483712 16.2469379 3.02343838490549 6.23133381845125 861991462336724992 3 0.0297358974623765 -3.76866618154875
2 3 10.25463446 6.20830566 13.2892344 16.2585366 3.03116046594946 6.21804510403496 861991462336724992 3 0.0294308939582991 -3.78195489596504
2 4 10.30333768 6.26153686 13.4037761 16.3069722 3.04350682603583 6.19114821190796 861991462336724992 3 0.029414319141951 -3.80885178809204
2 5 10.3608067 6.32220118 13.5978085 16.3886562 3.05651447526636 6.15060355841074 861991462336724992 3 0.029706249759864 -3.84939644158926
3 1 10.17858938 6.15243922 13.2102074 16.2279981 3.02301631326098 6.24082969952925 862137708120637440 3 0.0297263934316221 -3.75917030047075
3 2 10.2148973 6.1750182 13.2281493 16.2467497 3.02474181226093 6.2400490703248 862137708120637440 3 0.0301621719381957 -3.7599509296752
3 3 10.26446847 6.20810353 13.2722233 16.2787361 3.0280497559829 6.23261867797423 862137708120637440 3 0.030619381890518 -3.76738132202577
3 4 10.33617531 6.28785663 13.3454403 16.3210493 3.04859314304551 6.21757803761073 862137708120637440 3 0.0305274180698046 -3.78242196238927
3 5 10.41169946 6.3708264 13.465843 16.4155391 3.06867554659245 6.2043335615101 862137708120637440 3 0.0318415265778566 -3.7956664384899
