"Generation" "AAlpha" "ABeta" "BAlpha" "BBeta" "AConc" "BConc" "fitness" "distance"
1 47.4830654333333 31.3553181666667 7.1648438 34.8814707333333 3.30178779314635 24.4239067877739 4.38169548422794e-59 -25.5760932122261
2 47.5123265 31.3770995333333 7.19221743 34.9024276333333 3.30211529634501 24.3614805364687 1.70466034468197e-56 -25.6385194635313
3 47.5549207333333 31.4151983 7.22991861666667 34.9260659 3.30325213796558 24.2711149151527 5.26848987289281e-59 -25.7288850848473
4 47.8200093666667 31.3860379 7.17266140666667 35.0006930666667 3.2824136466827 24.4803914782638 1.38429330693839e-59 -25.5196085217362
5 47.6143176333333 31.3521307333333 7.03275173 34.8847381666667 3.2924779839441 24.9000541009068 1.03837536053722e-56 -25.0999458990932
