"Index" "AAlpha" "ABeta" "BAlpha" "BBeta" "BConc" "AConc"
1 41.935353535 48.991919192 44.95959596 10.180808081 1.13331405892618 4.91862649979836
2 22.277777778 9.6767676768 6.6525252525 23.285858586 17.5230791020329 2.17184311092306
3 9.1727272727 5.1404040404 12.196969697 15.221212121 6.3312593856141 2.80200417365642
4 16.229292929 43.447474747 18.245454545 37.398989899 10.4471485449721 5.05021960497553
5 46.471717172 30.342424242 6.1484848485 33.870707071 27.6216793553422 3.26461182212408
6 5.6444444444 37.903030303 46.975757576 22.277777778 2.49327643877133 5.22102426667917
7 14.717171717 49.495959596 10.684848485 44.95959596 21.4743800285219 5.07261995568697
8 11.188888889 30.846464646 39.415151515 12.196969697 1.58091511877635 5.07659807428681
9 42.943434343 15.221212121 41.431313131 50 6.03312319308097 1.77223981991391
10 2.1161616162 20.261616162 23.78989899 36.390909091 8.78483855391976 5.54071734332132
11 21.26969697 15.725252525 9.6767676768 8.1646464646 4.2527271825551 3.69663288026971
12 14.213131313 12.701010101 36.390909091 47.47979798 6.65158984377189 4.4680008835223
13 27.822222222 19.757575758 16.229292929 46.471717172 14.3792745969889 3.55068240715108
14 12.196969697 19.253535354 11.692929293 32.358585859 14.1518427238741 5.01511852325137
15 20.765656566 31.854545455 0.1 7.1565656566 170.589447818945 4.98384202438928
16 6.6525252525 38.407070707 38.407070707 1.1080808081 0.15029576137379 5.18528514027203
17 40.423232323 26.814141414 18.749494949 5.6444444444 1.50829480125897 3.31667457867785
18 2.6202020202 40.423232323 15.221212121 44.455555556 16.3862738519136 5.4765561553049
19 39.919191919 47.983838384 7.6606060606 2.1161616162 1.38893138442831 4.92679355335065
20 42.439393939 3.1242424242 22.277777778 14.717171717 1.26858405174385e-43 0.368082936181154
21 18.245454545 27.318181818 44.455555556 40.423232323 4.59858197406294 4.98529830046826
22 40.927272727 36.390909091 29.838383838 34.374747475 5.77098352346431 4.44576734087636
23 37.903030303 11.188888889 47.47979798 30.846464646 3.24695255315781 1.47598869510971
24 50 14.717171717 16.733333333 13.709090909 4.09017249847415 1.4717171983258
25 23.285858586 2.1161616162 23.285858586 26.31010101 2.98735567278396e-34 0.454387538473929
26 20.261616162 39.415151515 8.1646464646 17.237373737 10.7011995909148 5.01242315152344
27 1.6121212121 10.180808081 2.6202020202 36.894949495 84.3349898848668 5.65574881385545
28 0.1 24.293939394 47.983838384 26.814141414 5.00071459283614 8.70613067802063
29 0.604040404 0.604040404 15.725252525 41.935353535 19.2408256340703 4.85777273729685
30 44.95959596 38.911111111 30.846464646 5.1404040404 0.834450231314982 4.32733973602458
31 23.78989899 34.878787879 32.358585859 48.487878788 7.53901486995033 4.97326045186105
32 43.951515152 33.870707071 37.903030303 45.967676768 6.06919137857844 3.8531897860329
33 10.180808081 6.6525252525 14.213131313 31.854545455 11.4012714138315 3.26718917390271
34 18.749494949 3.6282828283 35.382828283 20.765656566 0.0994380982021014 0.967568095454084
35 35.886868687 28.83030303 29.334343434 22.781818182 3.89121811774392 4.01683176194187
36 16.733333333 11.692929293 31.854545455 33.366666667 5.27769132494724 3.49390326033989
37 46.975757576 25.302020202 24.797979798 43.951515152 8.8685471779717 2.69309330314348
38 38.911111111 16.733333333 10.180808081 27.822222222 13.6708315142825 2.15019993547119
39 21.773737374 37.398989899 34.878787879 18.245454545 2.63516266250942 4.99656371107984
40 12.701010101 43.951515152 43.951515152 38.911111111 4.51746543278231 5.08398206653959
41 41.431313131 18.245454545 28.83030303 12.701010101 2.2032615026044 2.2018918367429
42 8.6686868687 31.350505051 32.862626263 29.838383838 4.68746957743923 5.12084507336496
43 45.463636364 6.1484848485 28.326262626 32.862626263 5.78421993400366e-17 0.676198032895124
44 47.47979798 44.455555556 21.773737374 28.83030303 6.63586820752105 4.67588468901176
45 32.862626263 1.1080808081 33.870707071 39.919191919 2.76854793263325e-77 0.168593203101015
46 8.1646464646 17.237373737 11.188888889 4.6363636364 2.1498924555003 5.08446781181786
47 4.6363636364 45.463636364 4.1323232323 11.188888889 14.4670567502312 5.28196070995206
48 6.1484848485 10.684848485 41.935353535 21.773737374 2.70859282659882 5.0826617207409
49 13.709090909 29.838383838 13.709090909 39.415151515 14.6797334780475 5.04206805019413
50 36.894949495 41.935353535 27.822222222 20.261616162 3.6516557350647 4.91104053134836
51 35.382828283 22.781818182 45.967676768 16.733333333 1.82121235822274 3.21933236330179
52 1.1080808081 42.439393939 30.342424242 43.447474747 9.25412180370134 6.05573544783342
53 34.374747475 32.862626263 13.205050505 21.26969697 8.09617820620646 4.75183917389925
54 26.814141414 24.797979798 3.1242424242 18.749494949 30.2788539525857 4.62231765606606
55 31.854545455 14.213131313 20.261616162 17.741414141 4.38082459197395 2.23094237565925
56 33.870707071 13.205050505 17.741414141 3.1242424242 0.880352486497175 1.94933192851555
57 15.221212121 46.975757576 48.991919192 13.205050505 1.37465344248731 5.06448308946077
58 10.684848485 17.741414141 33.366666667 9.1727272727 1.40594012638213 5.03192131210498
59 29.334343434 4.1323232323 40.927272727 11.692929293 8.32192456891947e-16 0.704348859377299
60 33.366666667 23.285858586 1.6121212121 2.6202020202 8.16739584176875 3.48938991521834
61 48.487878788 21.773737374 34.374747475 31.350505051 4.56088025708306 2.24527617779978
